GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
000110101000-001110010011-001111010100-010110001000-101000010000-101011100111-101110101101-110110100101-111000110011-111101011001-01110001,8.78,67,44.78
000010010101-000011100000-001001010001-010000011000-010010101011-010110011000-011110000001-011110010001-101100111001-110000000100-11111000,-2.92,24,45.83
000110101101-001011000010-010110110111-011000101100-100000111101-100100011100-100100011111-101001111001-101110010110-110000111000-11111101,-2.47,12,50.0
000110000100-000111111011-010110111110-011011011011-100011101110-100100010110-101011000101-110111011111-110111100000-111001000110-10110111,-7.92,7,28.57
000111110100-001000111000-010011011100-010111001000-011110111101-100011000111-100101100001-101000101101-101110111010-111101111010-11010001,4.13,6,66.67
000011101010-001001000001-011000001011-011101000110-100101101001-100111100100-101010010101-101100011010-101100011110-110001001101-00011010,18.24,17,41.18
000010000010-001001100111-001110100100-011011110011-101000001010-110001000110-110011011000-110101101100-111100010111-111100010111-01100111,4.39,29,68.97
000110111110-011001010011-011011101110-011111101110-100100001000-100101001100-100101101010-101000011010-101001010101-111011111010-10110111,-4.69,36,47.22
000010110101-000111100100-001011101001-001100100001-001110100100-011011010000-011110111100-100111100110-101000011001-101100110011-11111010,20.56,17,64.71
000001100110-000100000000-000100011111-001010100111-001110100010-010110110100-011110000110-100011111000-101111011010-110011111100-11100111,-13.21,62,70.97
000001000000-001101011010-001101101010-001110001001-010000101110-011000101111-011001001001-011001100011-110001000101-111110000010-00110010,45.76,63,39.68
000010100110-010100010110-011001000010-100000000010-100101001110-101010010010-101101011110-101101110000-111010101101-111101010000-10010111,16.06,24,58.33
000000010001-001001001000-001001111101-001011110110-001111001110-010001011010-011110101110-100010011100-100110011010-111000000101-00010010,2.3,41,26.83
001100011001-001110100011-001110100100-010111010000-011011101001-101101000110-101101011110-110000111011-110011011111-110111001100-10111011,-9.13,8,25.0
000010110110-000100011110-001001110000-011100111010-011101101111-100001101000-100101001000-101010001101-101111101110-110100001110-00000010,-5.16,15,33.33
000110011000-001101000100-001110111101-010110001001-011010100000-011110000011-100100000010-101001111010-110011110001-111011110011-10000111,3.06,72,65.28
001101000010-010101110101-010111011011-011101000011-100101011111-101001011111-101010110011-101011100111-111110001010-111111011000-10111010,4.55,10,50.0
000010011110-010011000011-011000100110-011111011101-100110010110-101110011001-101111011100-110001011010-110010100111-111100100111-10111100,-1.05,8,50.0
000111000011-011010010101-011010101100-100010100010-100101010000-100110110111-100111000000-110101011111-111001000110-111100101010-10000101,-5.13,18,61.11
001011100010-001110110010-001111010110-010011101100-011110101111-101011001111-110010000110-110011111111-110110000111-110111001000-10111111,3.68,8,50.0
000011011011-001001001000-011000101010-100000011001-101001011001-101001111110-101010110001-110100101111-110100110011-110111010000-00110101,-22.89,49,22.45
000010010000-000111010000-001111100000-010011101100-011110011110-100001100100-101011010110-101110110110-101111110110-110100000111-00010110,32.67,67,25.37
000101001110-000111001111-001000001100-001010011111-011000100101-011100010010-100000010101-100010001001-100011001110-100100000101-10010001,-6.7,62,48.39
000110010110-010000011100-010111011001-011001000001-011100100110-100011000011-101101111011-111000011011-111000101000-111010111110-11100001,-4.45,6,83.33
000000010010-000110000100-001101101000-010001110011-011110000001-100110100011-100110110001-100111001100-110010100000-110101111001-01101000,26.69,40,67.5
000110011000-000110111001-001101010000-010111101010-101001001000-101001101001-101101000110-110010000110-111100111101-111111100110-01001110,-6.93,63,41.27
001001001000-001010010010-001010011110-001110001110-001110011000-001111010101-010000010101-100100101000-101001011001-101100010011-10110001,-5.37,45,51.11
